png_date,png_file,report_date,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,3707.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(166, 745, 246, 771)","+3,707"
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,-947.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(249, 745, 329, 771)",-947
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,-3568.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(332, 745, 412, 771)","-3,568"
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,-1494.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(166, 773, 246, 799)","-1,494"
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,-410.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(249, 773, 329, 799)",-410
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,1432.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(332, 773, 412, 799)","+1,432"
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,-1404.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(166, 801, 246, 827)","-1,404"
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,3915.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(249, 801, 329, 827)","+3,915"
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,-1916.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(332, 801, 412, 827)","-1,916"
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,7816.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(166, 830, 246, 856)","+7,816"
