png_date,png_file,report_date,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value,skip_reason
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,-1404.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(166, 801, 246, 827)","-1,404",observation already exists
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,3915.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(249, 801, 329, 827)","+3,915",observation already exists
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,-1916.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(332, 801, 412, 827)","-1,916",observation already exists
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,-10480.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(166, 858, 246, 884)","-10,480",observation already exists
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,9484.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(249, 858, 329, 884)",+9484,observation already exists
2025-07-15,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-15.png,2025-07-14,2025-07-14,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,644.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-15.png:(332, 858, 412, 884)",+644,observation already exists
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,-824.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(166, 801, 246, 827)",-824,observation already exists
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,5830.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(249, 801, 329, 827)","+5,830",observation already exists
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,1444.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(332, 801, 412, 827)",+1444,observation already exists
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,-2665.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(166, 858, 246, 884)","-2,665",observation already exists
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,2642.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(249, 858, 329, 884)","+2,642",observation already exists
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,172.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(332, 858, 412, 884)",+172,observation already exists
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,-284.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(166, 801, 246, 827)","-,284",observation already exists
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,6026.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(249, 801, 329, 827)","+6,026",observation already exists
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,1346.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(332, 801, 412, 827)","+1,346",observation already exists
2025-07-17,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-17.png,2025-07-16,2025-07-16,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,-12740.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(166, 858, 246, 884)","-12,740",observation already exists
